채널명,성향(추정·내부관리용),운영 주체 유형,구독자(확인치·시점),활동성 근거,비고 / 확인 필요 사항,channel_id/URL,최근30일_평균조회수,주간_업로드수,정치시사_비중%,기준_주제적합(Y/N),기준_규모(Y/N),기준_활동성(Y/N),기준_발언중심(Y/N),통과여부(통과|탈락|예외등재),탈락·예외사유
사장남천동,진보(추정),논객,약 59.6만(유튜브 페이지 직접 확인 2026-07-26),"주 5일 라이브(월~금 '남천동生라이브' 21:00/22:15, RSS 패턴 확인) / 활동:Y",오창석·임경빈 주축(2022-11 개설). 정치인 게스트 원칙적 미섭외. 풍자 형식 — 발언 추출 시 반어법 노이즈 검토 필요,https://www.youtube.com/@사장남천동 | UCUFpe4kv7GRPEddLfCJOIzQ,미실측 — YouTube Data API로 W1 실측 예정,"주 5일 라이브(월~금 '남천동生라이브' 21:00/22:15, RSS 패턴 확인)","Y — 친민주 정치풍자 코미디, 최근 제목 전부 시사·정치",Y,Y,Y,Y,통과,풍자·코미디 형식 — 반어법 발언 분류 정확도 검수 강화 필요
알릴레오 (사람사는세상),진보(추정),재단·미디어,167만(유튜브 페이지 직접 확인 2026-07-26),"주 3~4회(녹화 중심, 정기 라이브 미확인, 30일간 ~15편 RSS) / 활동:Y",유시민 출연 콘텐츠 여부 확인 ‖ ⚠️ 채널명은 '사람사는세상노무현재단'. '알릴레오 북스'는 2026-06-26 종료(유시민 사임). 채널은 '정준희의 토요토론'으로 지속 — 심사 대상을 '재단 채널'로 재정의해야 하며 주제적합 경계선,https://www.youtube.com/@443RohmoohyunFoundation | UCJS9VvReVkplPwCIbxnbsjQ,미실측 — YouTube Data API로 W1 실측 예정,"주 3~4회(녹화 중심, 정기 라이브 미확인, 30일간 ~15편 RSS)",불확실 — 정치·시사 약 50~60%(정준희의 토요토론 등) + 노무현 다큐·문화 콘텐츠 상당. 70% 기준,N,Y,Y,Y,탈락,채널 실체=노무현재단 채널(167만). 정치·시사 비중 ~50~60%로 70% 미달 + '알릴레오' 프로그램 2026-06 종료
장윤선의 취재편의점,진보(추정),전 언론인,75.1만(유튜브 페이지 직접 확인 2026-07-26),"매우 높음 — 총 영상 17,403개(2023-09 개설), 하루 다수 클립 + 정기 라이브 / 활동:Y",前 오마이뉴스 정치기자. 2025-07-24 대통령실 출입기자단 정식 등록. 독립 매체로 보임. 클립 물량 많아 처리 정책 검토,https://www.youtube.com/@취재편의점 | UCAVVxLmPDFkSTROPue8ZrRA,미실측 — YouTube Data API로 W1 실측 예정,"매우 높음 — 총 영상 17,403개(2023-09 개설), 하루 다수 클립 + 정기 라이브",Y — 최근 업로드 전부 정치·시사(전당대회·검찰개혁 등),Y,Y,Y,Y,통과,일 다수 클립(총 1.7만개) — 처리 정책 필요. 대통령실 출입기자단 등록(2025-07)
박시영TV,진보(추정),여론조사·전문가,69.4만(유튜브 페이지 직접 확인 2026-07-26),주 5~6회 고정 코너 + 거의 매일 라이브 / 활동:Y,"여론조사 해석 콘텐츠 — 전문가형 대안 ‖ ⚠️ 윈지코리아 창업자. 2023 민주당 혁신위원 이해충돌 사임, 2025-06 이재명 캠프 5000만원 컨설팅비 의혹 보도(파이낸셜뉴스) — 편향성 시비 대응 문서에 근거 기록 필요",https://www.youtube.com/@parksiyoungTV | UCIMv9bOOGWGIfg6wPcRLItQ,미실측 — YouTube Data API로 W1 실측 예정,주 5~6회 고정 코너 + 거의 매일 라이브,Y — 친이재명 정치평론(경제 코너도 정치 연동),Y,Y,Y,Y,통과,이재명 캠프 컨설팅비 의혹 보도(2025-06) — 편향성 방어 문서에 기록
한두자니S2,진보 (2026-07-26 확인),개인·팬덤형,약 31.1만,확인불가(꾸준한 라이브로 보도) / 활동:Y(2026-04 보도까지 활동 확인),"성향·포맷 미확인 — 우선 확인 ‖ ⚠️⚠️ 2026-04-20 법원, 장동혁 국민의힘 대표 스토킹 혐의 100m 접근금지 명령(~2026-07-12). 2026-05 슈퍼챗 최상위권",https://www.youtube.com/@handoozani | UCfdwCAK9QHC7XMyKbgmqnjg,미실측 — YouTube Data API로 W1 실측 예정,확인불가(꾸준한 라이브로 보도),Y — 정치인 밀착 취재·현장 대치·풍자,Y,Y,Y,Y,보류,"성향=진보(친민주) 확인. ⚠️ 장동혁 대표 스토킹 접근금지 명령(2026-04) — 평판·법적 리스크 중대, 두 사람 합의 필요"
뿌꾸삼촌,보수·친한동훈 (확인),개인(신원 미검증),약 16.9만,확인불가(최근 7일 조회 1.7만 — 활동 정황) / 활동:Y(추정),"⚠️ 운영자 김기환(우파삼촌TV, 무고죄 법정구속 이력) 동일인 여부 미검증 — 해시태그 정황뿐. 누적 슈퍼챗 약 4.2억",https://www.youtube.com/channel/UCbcXQcXLty2rzrv2fUR_mzg | UCbcXQcXLty2rzrv2fUR_mzg,미실측 — YouTube Data API로 W1 실측 예정,확인불가(최근 7일 조회 1.7만 — 활동 정황),Y — 채널 설명 '한동훈후보 비추는방송',Y,Y,?,Y,보류,성향=보수(친한동훈) 확인. 운영자 신원 미검증(무고죄 구속 이력자 동일인 가능성) — 검증 후 판정
윤PD TV,보수·친한동훈 (확인),개인·팬덤형,약 9.3만(2024-07 6.4만에서 성장),확인불가 / 활동:확인불가,구독 10만 미만 — 규모 기준 미달 가능성. 2024 슈퍼챗 급성장(월 646만원),https://www.youtube.com/@윤PD입니다,미실측 — YouTube Data API로 W1 실측 예정,확인불가,Y — '한동훈 대표와 늘 함께',Y,N,?,Y,탈락,"규모 미달(구독 9.3만 < 10만, 조회수 기준 미확인)"
이큐채널,보수 (확인),개인 논객,약 42.2만(출처별 43.7만~129만 편차),"4일간 8개 확인 — 거의 매일 추정, 라이브 포함 / 활동:Y",2015-12 개설. 운영자 실명 확인불가,https://www.youtube.com/channel/UCek6BDHDbP2C5pzbXDAoc4A | UCek6BDHDbP2C5pzbXDAoc4A,미실측 — YouTube Data API로 W1 실측 예정,"4일간 8개 확인 — 거의 매일 추정, 라이브 포함",Y — '국익 우선 실용주의 정치 현안 시사채널',Y,Y,Y,Y,통과,성향=보수 확인. 구독자 편차(42만~129만) — 실측 필요
진성호방송,보수,전 언론인·전 의원,약 185만,확인불가 / 활동:확인불가,과거 NHN 10억 손배 소송(허위사실 인정·사과) 이력,https://www.youtube.com/channel/UC-ORGzN6c-OZyCw9YAYNjkA | UC-ORGzN6c-OZyCw9YAYNjkA,미실측 — YouTube Data API로 W1 실측 예정,확인불가,Y,Y,Y,?,Y,통과,185만. 활동성(최근 업로드) 실측 필요
신의한수,보수,전 언론인,약 158~159만,확인불가(총 1.2만개 — 다작) / 활동:Y(정황),"⚠️⚠️ 2025-08 서부지법 폭동 관련 자택 압수수색(주도자 송금 정황·전광훈 연루 의혹), 대통령실 민간인 동원 의혹 공익신고 — 법적 리스크 중대",https://www.youtube.com/channel/UCgOLQwRv1r2m9mhE1tfsn3Q | UCgOLQwRv1r2m9mhE1tfsn3Q,미실측 — YouTube Data API로 W1 실측 예정,확인불가(총 1.2만개 — 다작),Y,Y,Y,Y,Y,보류,"⚠️ 서부지법 폭동 연루 압수수색(2025-08)·공익신고 건 — 법적 리스크 중대, 두 사람 합의 필요"
배승희 변호사,보수,변호사,"128만~178만(출처 편차 큼, YouTube 페이지 1.78M)",확인불가 / 활동:확인불가,"⚠️ 2024-12 비상계엄 옹호 발언으로 YTN 라디오 하차, 변호사법 위반 고발(한국법조인협회)",https://www.youtube.com/@tatabuta | UC8SZ88GQa9XWwZxLNibO3ug,미실측 — YouTube Data API로 W1 실측 예정,확인불가,Y,Y,Y,?,Y,통과,구독자 편차(128만~178만)·활동성 실측. 계엄 옹호 논란·변호사법 고발 이력 기록
고성국TV,보수,평론가,약 133~134만,확인불가 / 활동:확인불가,시사IN '극우 유튜버' 표현 모욕죄 소송 기각. 기타 논란 언급은 출처 신뢰도 낮음(미검증),https://www.youtube.com/channel/UCM8BcGB6BWKq3utIMhGKnUA | UCM8BcGB6BWKq3utIMhGKnUA,미실측 — YouTube Data API로 W1 실측 예정,확인불가,Y,Y,Y,?,Y,통과,133만. 활동성 실측 필요
펜앤드마이크TV,보수,언론사,약 200만(YouTube 페이지 2.0M),확인불가 / 활동:확인불가,⚠️ 2021 우리금융 허위·왜곡보도 3천만원 배상 판결. 유튜브 수익화 거절 이력. 정규재 대표 2023 은퇴 후 관계 미확인,https://www.youtube.com/channel/UCOqCunaF9qVN8bXwsK0HT3g | UCOqCunaF9qVN8bXwsK0HT3g,미실측 — YouTube Data API로 W1 실측 예정,확인불가,Y(언론사형 — 리포트 혼재),Y,Y,?,?,통과,언론사형 — 리포트 혼재로 발언중심 비중 확인. 허위보도 배상 판결(2021)·수익화 거절 이력 기록
이봉규TV,보수,평론가,약 97.9만,확인불가(총 1.6만개 — 다작) / 활동:확인불가,대통령실 인사 출연 논란 보도. 기타 언급은 연관성 불명확,https://www.youtube.com/channel/UCxuf3GXK290vcpFW0lxm0Uw | UCxuf3GXK290vcpFW0lxm0Uw,미실측 — YouTube Data API로 W1 실측 예정,확인불가(총 1.6만개 — 다작),Y,Y,Y,?,Y,통과,97.9만. 활동성 실측 필요
김태우TV,보수,전 언론인,약 80~83만,확인불가 / 활동:Y — 채널 재개 보도 확인,전 강서구청장(공무상비밀누설 유죄 확정으로 직위 상실) — 현재 법무사. actor_type=commentator 적정,https://www.youtube.com/channel/UCyuV4qJTRTHmdhBveSVJAew | UCyuV4qJTRTHmdhBveSVJAew,미실측 — YouTube Data API로 W1 실측 예정,확인불가,Y,Y,Y,Y,Y,통과,전 구청장(유죄 확정 이력 기록) — actor_type=commentator
성창경TV,보수,전 언론인(KBS),약 128만,확인불가 / 활동:확인불가,⚠️ 박선원 의원 AI조작 허위사실 고소 + 민주당 법적 대응 진행 중. 시사IN 상대 소송은 기각,https://www.youtube.com/channel/UCFWIofVBqseX6Bmd9Dn7kgg | UCFWIofVBqseX6Bmd9Dn7kgg,미실측 — YouTube Data API로 W1 실측 예정,확인불가,Y,Y,Y,?,Y,통과,진행 중 소송 다수(박선원 고소·민주당 대응) — 리스크 기록
황장수의 뉴스브리핑,보수,평론가,약 56.7만,"주 15~20개+(거의 매일 라이브 후 1~4부 분할 업로드, RSS로 07-23~25 확인) / 활동:Y(2026-07-25 업로드 RSS 확인)",운영주체 미래경영연구소. 동일 대표의 복수 채널(앵그리블루 등) 존재 — 채널 소속 재확인 권장. 채널명 표기 '황장수의 뉴스브리핑o',https://www.youtube.com/@JangsooHwang | UCR0VAgd0w8QI7WWQ0E8Srdw,미실측 — YouTube Data API로 W1 실측 예정,"주 15~20개+(거의 매일 라이브 후 1~4부 분할 업로드, RSS로 07-23~25 확인)",Y — 최근 10개 제목 전수 확인(국내 정치 직접 다룸),Y,Y,Y,Y,통과,주 15~20편 다작. 동일 대표 복수 채널 — 심사 대상 채널 특정
보수미,보수(추정),확인 필요,확인 필요,확인불가 / 활동:확인불가,⚠️ 다수 검색 조합으로도 채널 실존 확인 실패. 슈퍼챗 랭킹·기사·위키 어디에도 없음. 채널명 오기 가능성 — 원 출처 확인 필요. 심사 보류 권고,확인불가,미실측 — YouTube Data API로 W1 실측 예정,확인불가,확인불가,?,?,?,?,탈락,채널 실존 확인 실패(다수 검색·랭킹에 부재) — 원 출처 확인 후 재검토
신인균의 국방TV,보수(추정),군사 전문,약 153만,"주 12개(Playboard 명시, RSS로 거의 매일 확인) / 활동:Y(2026-07-25 RSS 확인)","국방·안보 특화 — 주제 적합 70% 기준 확인 ‖ 자매채널 '군사TV' 별도 존재. 저우위보 명예훼손 소송 이력(형사 불기소, 민사 진행 — 결과 미확인)",https://www.youtube.com/@KDNKukbangTV | UCbgqDFODvh-q38ouzoKKkVA,미실측 — YouTube Data API로 W1 실측 예정,"주 12개(Playboard 명시, RSS로 거의 매일 확인)","불확실 — 국제 군사·안보 중심, 국내 정치(정당·선거) 비중 낮음. 군사/안보 논평 채널로 분류가 정확",?,Y,Y,Y,보류,"국제 군사·안보 중심 — 국내정치 비중 70% 미달 가능성, 최근 30일 실측 후 판정"
가로세로연구소,보수,논객,"약 98.6만(2025-03 100만 달성 후 소폭 하회, 주간 -1천 정체)","주 4~5회(RSS 3주간 15개 확인, 라이브 포함) / 활동:Y(2026-07-24 RSS 확인)","법적 분쟁 이력 다수 — 편입 시 리스크 검토 필수 ‖ ⚠️⚠️ 대표 김세의 2026년 현재 구속 상태(김수현 관련 허위사실 유포 등 구속기소, 적부심 기각). 강신업 변호사 등 대리 진행 체제. 2026-07-14 PD수첩 비판 방영. 명예훼손 소송 다수 — 편입 리스크 최고 수준",https://www.youtube.com/@HOVERLAB2018 | UC0M-_02RJqMlGTKUjF1WhJg,미실측 — YouTube Data API로 W1 실측 예정,"주 4~5회(RSS 3주간 15개 확인, 라이브 포함)","N/불확실 — 정치와 연예 가십 혼재, 70% 단정 어려움(최근 15개 제목 전수 확인)",?,Y,Y,Y,탈락,⚠️ 대표 김세의 구속(2026)·대리 운영 체제 + 정치/연예 혼재(70% 불확실) + 소송 다수 — 리스크 최고 수준
최병묵의 FACT,보수(추정),전 언론인,약 57만(유튜브 페이지 직접 확인 2026-07-26),"주 10편+ 추정(거의 매일 1~수 편, 5시간 전 업로드 확인) / 활동:Y(5시간 전 업로드)",월간조선 편집장 출신. TV조선·채널A 패널 겸업. 법적 분쟁 이력 확인불가,https://www.youtube.com/@choifact | UC9Hlfu1tksuFbo2peL1ohnA,미실측 — YouTube Data API로 W1 실측 예정,"주 10편+ 추정(거의 매일 1~수 편, 5시간 전 업로드 확인)",Y — 최근 영상 전부 정치 시사 해설,Y,Y,Y,Y,통과,57만·주 10편+
서정욱TV,보수(추정),변호사,73.9만(유튜브 페이지 직접 확인 2026-07-26),"주 30편+ 추정(일 5편+, 후보 중 최다작) / 활동:Y(1시간 전 업로드)",2024-01 채널 개설(신생이지만 급성장). 2024-03 방송 패널 하차 논란. 물량 최다급 — 처리비용 고려,https://www.youtube.com/@서정욱TV | UCNzWZmsJ2QmBss30LeZZTdg,미실측 — YouTube Data API로 W1 실측 예정,"주 30편+ 추정(일 5편+, 후보 중 최다작)",Y — 정치 비중 70% 이상 판단(일부 사회·경제 혼재),Y,Y,Y,Y,통과,일 5편+ 최다작 — 처리비용 상한 정책 전제
이재명 (대통령 취임 전 채널),여권,정치인 본인,193만(유튜브 페이지 직접 확인 2026-07-26),주 1회 내외(취임 전 대비 급감) / 활동:Y(6일 전) — 단 성격 완전 전환,대통령 취임 후 채널 지위 확인 필요 ‖ ⚠️ 2025-06-04 대통령 취임. 채널 설명 '대한민국 제21대 대통령'. 정치 시사 채널로 부적합 가능성 큼. 운영 주체(대통령실 대리 여부) 미확인. '뉴이재명tv' 등 제3자 팬덤 채널과 혼동 금지,https://www.youtube.com/@이재명tv | UCNJM6dqu70Qr6VaseiW1Org,미실측 — YouTube Data API로 W1 실측 예정,주 1회 내외(취임 전 대비 급감),"불확실(N에 가까움) — 순방 브이로그·국정 홍보로 전면 전환('Daily-Jaem', '어쩌다 청와대')",N,Y,N,N,탈락,대통령 취임(2025-06) 후 순방 브이로그·국정 홍보로 전환 — 주제적합·발언중심·빈도 미달
홍카콜라 (홍준표),보수,정치인 본인,74만(유튜브 페이지 직접 확인 2026-07-26),"주 1~2편(ep 시리즈 정기 연재, 라이브는 과거 아카이브만) / 활동:Y(21시간 전 업로드)","⚠️ 2025-04 대구시장 사퇴·대선 경선 탈락 후 정계 은퇴(무소속, 공직 없음) — actor_type을 politician으로 볼지 commentator로 볼지 결정 필요. 2025-09 '투나잇쇼'로 재개(전직 아나운서와 공동 진행). 본인 직접 운영",https://www.youtube.com/@TVHongcacola | UCfmicRK2-WdZMVQDrfcitLA,미실측 — YouTube Data API로 W1 실측 예정,"주 1~2편(ep 시리즈 정기 연재, 라이브는 과거 아카이브만)",Y — 거의 전부 정치·시사,Y,Y,?,Y,통과,"주 1~2편 — 주 2회 기준 경계, 실측. 정계 은퇴 상태 — actor_type 재분류(politician→commentator) 검토"
이준석 채널,제3지대,정치인 본인,확인 필요,"확인불가 — 나무위키: 2024년 이후 활동 사실상 중단 서술 / 활동:N에 가까움 — 채널 활동 축소·중단 서술, 본인은 개혁신당 대표로 활동",⚠️ 정계은퇴설은 정이한(개혁신당 전 부산시장 후보)과 혼동된 오보. 채널 정본 확인 필요 — 등록 전 육안 확인 필수,"확인불가 — 후보 2개: '이준석'(UCdkv2W-p3wEK5REQHfu7OKA, 개혁신당 공식과 혼선) vs '여의도재건축조합'(@y.rebuilding)",미실측 — YouTube Data API로 W1 실측 예정,확인불가 — 나무위키: 2024년 이후 활동 사실상 중단 서술,불확실(콘셉트는 시사 토크),?,?,N,Y,탈락,채널 활동 사실상 중단(2024~) + 채널 정본 미확정(개혁신당 공식과 혼선)
장동혁 채널,보수,정치인 본인,확인 필요,확인불가 / 활동:불확실 — 본인 활동은 활발하나 개인 채널 최근 업로드 미확인,"당대표 취임 후 활동 확인 ‖ ⚠️ 2025-08 국민의힘 당대표 취임. 2026-04 당 공식 보조채널 '장대표 어디가?' 별도 개설(당비 운영 논란, 국민의힘TV 산하) — 심사 대상 채널 구분 필요. 2026-06 하순 당내 사퇴론·가족상 활동 중단 보도",https://www.youtube.com/@_jangdonghyuk_ ('장동혁의 끝장TV') | UCS96TXmqmmilTXL0FSAMDxA,미실측 — YouTube Data API로 W1 실측 예정,확인불가,불확실(정치 중심 추정),?,?,?,?,보류,"심사 대상 특정 필요: 개인 채널(끝장TV, 활동 불확실) vs 당 공식 '장대표 어디가?'(운영주체=정당)"
정청래TV,진보,정치인 본인,약 70.3만(2025-10-03 기준 — 최초 구독자 감소 보도. socialerus 129만 수치는 신뢰도 불명확으로 기각),라이브 활발('2분뉴스 라이브' Ep.673 등 — 거의 매일~주 수회 추정) / 활동:Y(2026-07-22 라이브 확인),"2025-08~2026-06-24 민주당 당대표 역임 후 전격 사퇴(8·17 전당대회 연임 도전, 2026-07-13 재출마 선언). 본인 직접 운영 — 대리운영 정황 없음. 유튜브 팬덤정치 대표 사례로 지속 언급","https://www.youtube.com/channel/UCNRVHeIfz11ggS_JJvJFTnw (@ssabibi, '정청래 TV떴다!') | UCNRVHeIfz11ggS_JJvJFTnw",미실측 — YouTube Data API로 W1 실측 예정,라이브 활발('2분뉴스 라이브' Ep.673 등 — 거의 매일~주 수회 추정),Y,Y,Y,Y,Y,통과,70만(2025-10). 전 당대표·8/17 전당대회 재출마 — 이벤트 물량 대비
박주민TV,진보,정치인 본인,확인 필요,확인불가 / 활동:불확실(2026-06-05 홍사훈쇼 관련 업로드가 최후 확인),"⚠️ 2026-03 서울시장 출마 위해 복지위원장 사임 → 민주당 경선 탈락(정원오 확정, 본선은 오세훈 재선). 선거 후 채널 활동 변화 미확인 — 등록 전 직접 확인 필요",https://www.youtube.com/@joomincenter | UCoFvuvMlEPICy1ClmlgzA4g,미실측 — YouTube Data API로 W1 실측 예정,확인불가,불확실 — 채널 설명 '서울시장 예비후보' 선거 캠페인 성격,?,?,?,?,보류,서울시장 경선 탈락(2026-06) 후 채널 활동 미확인 — 직접 확인 필요
국회방송 NATV,중립·제도권,공영,약 25~26만(2025 중반 25만 기념),"상시(본회의·상임위 중계+시사 프로그램, 정확 횟수 미확인) / 활동:Y",본회의·상임위 원본 — 발언 원료로 가치 높음 ‖ 국가기관(국회사무처) 운영. 유튜브 전용 드라마·예능 실험도 있으나 본연은 중계,https://www.youtube.com/@NATV_korea,미실측 — YouTube Data API로 W1 실측 예정,"상시(본회의·상임위 중계+시사 프로그램, 정확 횟수 미확인)",Y — 입법부 중계가 설립 목적,Y,Y,Y,Y,통과,본회의·상임위 원본 — 발언 원료 가치 최고. 제도권 축 필수
MBC 뉴스외전,중립·언론사,언론사 정치 프로그램,확인 필요,평일 매일(13:55~) / 활동:Y(2026년 편성 지속 확인),⚠️ 별도 채널 아님 — MBCNEWS 본채널 하위 편성. 채널 단위 심사 시 문제,https://www.youtube.com/channel/UCF4Wxdo3inmxP-Y59wXDsFw | UCF4Wxdo3inmxP-Y59wXDsFw(MBCNEWS 본채널),미실측 — YouTube Data API로 W1 실측 예정,평일 매일(13:55~),불확실 — 프로그램은 정치 중심이나 채널(MBCNEWS)은 종합뉴스,Y,?,Y,Y,보류,"별도 채널 아님(MBCNEWS 본채널 하위 편성) — 채널 단위 원칙과 충돌, 편입 방식 결정 필요"
채널A 뉴스TOP10,중립·언론사(보수계 모기업),언론사 정치 프로그램,약 143만(일부 127만),"매일(월~금 17:10~19:00, 주말 포함) + 클립 다수 / 활동:Y(2026-07 방영분 확인)",✅ 프로그램이 별도 독립 채널로 운영 — 채널 단위 심사 가능,https://www.youtube.com/channel/UCIIpmDPVk7nzNHEUSHmvkUg | UCIIpmDPVk7nzNHEUSHmvkUg(@channelA-newstop10),미실측 — YouTube Data API로 W1 실측 예정,"매일(월~금 17:10~19:00, 주말 포함) + 클립 다수",Y,Y,Y,Y,Y,통과,독립 채널 확인·143만·매일 방송
