채널명,성향축,actor_type,channel_id/URL,구독자(실측),30일 업로드,선정구분,메모
스픽스 SPEAKS,진보,media,https://www.youtube.com/@SPEAKS_TV | UCgeOlLcX6PReHdWImEnUVTg,"1,550,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,
새날,진보,commentator,https://www.youtube.com/@saenal | UCu1FzjrHosuKGvgIx8oBi8w,"1,140,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,
김용민TV,진보,media,https://www.youtube.com/@kimyongminTV | UCljnbFCt-4doBr7wtEIIbbw,"897,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,운영자 현직 국회의원 — actor_type=politician 재분류
고발뉴스TV,진보,media,https://www.youtube.com/channel/UCX7-K_PSdtAiUDLEMQwrRoQ | UCX7-K_PSdtAiUDLEMQwrRoQ,"820,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",예외통과,예외 통과(2026-07-27 결정): 리스크 배제 원칙의 예외. 82만·활발(평균 15.9만). 이상호 리
이동형TV,진보,commentator,https://www.youtube.com/channel/UCd4BxCKyMHG2J0X1SerTPaQ | UCd4BxCKyMHG2J0X1SerTPaQ,"794,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,신규 발굴 — 등록 전 활동성 실사
장윤선의 취재편의점,진보,media,https://www.youtube.com/@취재편의점 | UCAVVxLmPDFkSTROPue8ZrRA,"750,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,일 다수 클립(총 1.7만개) — 처리 정책 필요. 대통령실 출입기자단 등록(2025-07)
정치 읽어주는 여자,진보,commentator,https://www.youtube.com/channel/UC-hc6yLEjk5C5gMTJKFGlPw | UC-hc6yLEjk5C5gMTJKFGlPw,"697,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,신규 발굴 — 등록 전 실사
박시영TV,진보,commentator,https://www.youtube.com/@parksiyoungTV | UCIMv9bOOGWGIfg6wPcRLItQ,"694,000 (API 실측 2026-07-27)","30일 25편 (실측, 최근 2026-07-26)",통과,이재명 캠프 컨설팅비 의혹 보도(2025-06) — 편향성 방어 문서에 기록
정청래TV,진보,politician,"https://www.youtube.com/channel/UCNRVHeIfz11ggS_JJvJFTnw (@ssabibi, '정청래 TV떴다!') | UCNRVHeIfz11ggS_JJvJFTnw","694,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,70만(2025-10). 전 당대표·8/17 전당대회 재출마 — 이벤트 물량 대비
사장남천동,진보,commentator,https://www.youtube.com/@사장남천동 | UCUFpe4kv7GRPEddLfCJOIzQ,"590,000 (API 실측 2026-07-27)","30일 20편 (실측, 최근 2026-07-24)",통과,풍자·코미디 형식 — 반어법 발언 분류 정확도 검수 강화 필요
